Right Collar Abduction;Right Collar Internal;Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Collar Abduction;Left Collar Internal;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3;Left Pelvis X;Left Pelvis Y;Left Pelvis Z;Left Pelvis Q0;Left Pelvis Q1;Left Pelvis Q2;Left Pelvis Q3;RLeft Collar Abduction;RLeft Collar Internal;RLeft Shoulder Abduction;RLeft Shoulder Internal;RLeft Shoulder Flexion;RLeft Elbow Pronation;RLeft Elbow Flexion;RLeft Wrist Ulnar;RLeft Wrist Flexion;RLeft Hip Flexion;RLeft Knee Flexion;RLeft Ankle Dorsiflexion;LRight Collar Abduction;LRight Collar Internal;LRight Shoulder Abduction;LRight Shoulder Internal;LRight Shoulder Flexion;LRight Elbow Pronation;LRight Elbow Flexion;LRight Wrist Ulnar;LRight Wrist Flexion;LRight Hip Flexion;LRight Knee Flexion;LRight Ankle Dorsiflexion
-5,296703567;1,026939061;10,33447903;45,39910207;72,99290512;115,8805826;21,40631308;-7,855632;-4,341830927;44,42463622;72,48258977;-2,420762746;-6,412013617;-0,696292601;10,1364032;35,38001883;68,32211448;114,6407981;21,55515766;-0,214413926;-5,064626384;42,92386872;73,50434864;0,799571318;-0,097921743;-0,250851612;0,378565804;0,681039007;0,164873434;-0,18910119;0,676991702;-0,115159761;-0,244477275;0,384025803;0,69767303;0,16756898;-0,199216091;0,655998754;-6,539334537;0,206159465;-1,9364337;45,81948364;70,9002785;108,8044616;-3,814182044;-2,959620301;-0,011747161;45,06239494;74,93129472;1,099130941;-4,051726555;0,312825318;4,623988875;49,98237754;73,63964473;119,0826978;1,613589233;-9,223856621;-1,847223841;42,37818848;71,45420371;-2,517138397
-5,295871816;1,027225848;10,35273681;45,37345691;72,98117304;115,7876813;21,47801558;-7,839871093;-4,370319123;44,4242572;72,48226605;-2,420854273;-6,41291923;-0,694868314;10,14958278;35,36017627;68,31110888;114,5800287;21,61800238;-0,195276881;-5,08492856;42,92501025;73,50517176;0,799577263;-0,097922808;-0,250853158;0,378566426;0,681037185;0,164873889;-0,189103086;0,676993244;-0,115158541;-0,2444813;0,384021814;0,697671615;0,167572769;-0,199217717;0,655996089;-6,539748164;0,205539007;-1,932519556;45,8180609;70,90064426;108,803601;-3,814218945;-2,959392605;-0,011961241;45,06198922;74,93074827;1,099757249;-4,053785743;0,309866193;4,627510567;49,98144635;73,64027711;119,0825649;1,614918922;-9,223611263;-1,847364035;42,38023413;71,45538797;-2,517585143
-5,29511851;1,027190687;10,37148274;45,34721606;72,9686388;115,6927915;21,55330721;-7,823526921;-4,399123786;44,42397028;72,48200473;-2,420959374;-6,413997158;-0,693381256;10,16366;35,33967453;68,29986081;114,515891;21,68340341;-0,175355612;-5,106164065;42,92942259;73,50766237;0,799269097;-0,097923895;-0,25085496;0,378567018;0,681035083;0,164874555;-0,189104992;0,676995026;-0,115156728;-0,244488344;0,38401426;0,697671022;0,167572416;-0,199213814;0,655991889;-6,540220866;0,205072485;-1,928567332;45,81599717;70,90104958;108,8028831;-3,81444261;-2,959261864;-0,012176656;45,06157191;74,93013997;1,100590733;-4,055767356;0,306683971;4,630493349;49,98045134;73,64137246;119,0826792;1,616424654;-9,223321243;-1,847645454;42,38557338;71,45792018;-2,518530625
-5,294337902;1,027114637;10,39055502;45,32064675;72,95540378;115,5929157;21,63240214;-7,806816879;-4,429256692;44,42374573;72,48174486;-2,421056256;-6,4148962;-0,691719256;10,17829664;35,31837626;68,2883735;114,4487352;21,7508392;-0,15426501;-5,127694858;42,93362182;73,51009274;0,798994379;-0,097925094;-0,25085671;0,378567672;0,681033598;0,164875131;-0,189106304;0,676996425;-0,115155116;-0,244495422;0,384006825;0,697670541;0,167573199;-0,199211266;0,655987238;-6,540856732;0,204458856;-1,924541826;45,81397856;70,9015509;108,8021185;-3,814804545;-2,959116276;-0,012356969;45,06123176;74,92959005;1,101114102;-4,058013517;0,303512278;4,633792254;49,97938291;73,64252679;119,0825366;1,617831288;-9,223088143;-1,847974208;42,39064402;71,46028822;-2,519507637
-5,293358017;1,027114698;10,41026701;45,29378718;72,94151026;115,4864511;21,71731801;-7,789678543;-4,460579561;44,42336092;72,48139163;-2,421154067;-6,415751099;-0,69002619;10,19373242;35,29570842;68,27679852;114,3775198;21,82155041;-0,132903445;-5,149858872;42,93821532;73,51271838;0,79869154;-0,097926401;-0,250858316;0,378568409;0,681032392;0,164876573;-0,189107604;0,676997483;-0,115153694;-0,244502566;0,383999186;0,697670311;0,167572459;-0,199207777;0,655982966;-6,541889707;0,203434985;-1,920340632;45,81155843;70,90225136;108,8017637;-3,815443266;-2,958913219;-0,012690402;45,06078235;74,92904892;1,101260853;-4,060220402;0,300668009;4,637388955;49,97819942;73,64401888;119,0822782;1,61894304;-9,222853944;-1,848335699;42,39599711;71,46276959;-2,520516733
-5,292257797;1,02670883;10,43039652;45,26546917;72,92616952;115,3753504;21,80741451;-7,771499021;-4,492778223;44,42260788;72,48086988;-2,421274613;-6,416674413;-0,688151099;10,2099068;35,27197963;68,26455797;114,3005836;21,89699513;-0,111031665;-5,173443559;42,94308075;73,5154392;0,798358705;-0,097927562;-0,250859886;0,378569354;0,681030395;0,164879482;-0,189109893;0,676998719;-0,115152302;-0,244509627;0,38399144;0,697670122;0,167570473;-0,199202883;0,655979166;-6,54291771;0,202412482;-1,915937666;45,80880514;70,90300345;108,8013925;-3,816352765;-2,958626565;-0,013033856;45,05997941;74,92833503;1,101401043;-4,062486658;0,29763341;4,641082689;49,97671335;73,64565759;119,0821482;1,619804146;-9,222572205;-1,848618787;42,40157564;71,46534363;-2,521515794
-5,29096521;1,022989385;10,44985401;45,23742152;72,91082648;115,2573656;21,90090971;-7,751467129;-4,526037055;44,42234046;72,48054458;-2,421592448;-6,417814212;-0,685759434;10,22692148;35,24772438;68,25188358;114,2183051;21,97675025;-0,088617662;-5,198480427;42,94745122;73,51779058;0,798158991;-0,097928399;-0,250861633;0,378569931;0,681027112;0,164881429;-0,189111401;0,67700144;-0,115151408;-0,244516382;0,383983617;0,69766861;0,167567378;-0,199197606;0,655977951;-6,5439097;0,202329642;-1,911801804;45,80616455;70,90360111;108,8004885;-3,817816986;-2,958397179;-0,01299836;45,05945078;74,92766941;1,101713865;-4,064671876;0,291831796;4,643280013;49,97562234;73,64771602;119,0823158;1,620396903;-9,222402603;-1,848801601;42,40589057;71,46731121;-2,52245239
-5,289486359;1,019021809;10,47030909;45,2080866;72,89454306;115,1331708;21,99894257;-7,729776198;-4,560231248;44,42168955;72,48003978;-2,421864496;-6,418925662;-0,683361146;10,24446884;35,2223712;68,23909079;114,1320639;22,05932316;-0,065891998;-5,223801339;42,94802306;73,51822416;0,798311172;-0,09792914;-0,250863405;0,378570774;0,681024126;0,164885011;-0,189113953;0,677003294;-0,115151722;-0,244521719;0,383977196;0,6976661;0,167568785;-0,199198315;0,655979122;-6,544945936;0,202391103;-1,907464281;45,80362984;70,90408177;108,799324;-3,819542664;-2,95826718;-0,012737247;45,05855932;74,92687433;1,101732035;-4,066938408;0,285520911;4,645677424;49,97442269;73,64932534;119,0823664;1,620353101;-9,222394831;-1,848968826;42,40582018;71,46741072;-2,522718166
-5,288088793;1,015046528;10,49182198;45,17837259;72,87764055;115,0048328;22,10128896;-7,707661975;-4,595155846;44,42120139;72,47961945;-2,422140072;-6,420010616;-0,680956232;10,26296944;35,19566638;68,22534967;114,0389218;22,14591379;-0,043037301;-5,248767945;42,94866133;73,51867184;0,798402936;-0,097929757;-0,250865189;0,378571613;0,681021491;0,164888175;-0,189116046;0,677005038;-0,115152368;-0,244527115;0,383970614;0,697663301;0,167570007;-0,199199233;0,655980668;-6,546070425;0,202749099;-1,903005209;45,80149353;70,904687;108,7977748;-3,821846933;-2,958153392;-0,01210749;45,05779443;74,92611177;1,101733869;-4,069282767;0,279246499;4,648301702;49,97294196;73,65085915;119,0825663;1,620422161;-9,222393893;-1,84906609;42,40580587;71,46755764;-2,522963826
-5,286665622;1,012012528;10,51479506;45,14651837;72,85950317;114,8689542;22,20988212;-7,685519198;-4,631752753;44,42095402;72,47944924;-2,422474299;-6,420865308;-0,679157322;10,28284348;35,16706723;68,21056248;113,9401722;22,2368755;-0,019579748;-5,273623132;42,94899439;73,51899986;0,798280084;-0,097930105;-0,250867274;0,378572132;0,681019087;0,164891723;-0,189118379;0,677006291;-0,115153179;-0,244532535;0,383964022;0,697661572;0,167572106;-0,199201459;0,655980899;-6,547645195;0,203127822;-1,898711164;45,79911757;70,90548443;108,7964986;-3,824540451;-2,958323247;-0,011653546;45,05704946;74,92536574;1,102293423;-4,071934233;0,275297133;4,652730182;49,97101589;73,65212396;119,0824011;1,62088724;-9,222441912;-1,849164635;42,4053751;71,467569;-2,52308057
