Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3
0,953306827;47,98712378;45,95493987;38,39123362;117,8060744;2,481887493;-0,002346665;66,93715904;87,79238611;2,465961467;-0,241541279;41,18640268;44,31799406;23,54496268;117,7978169;-8,08900483;20,60105666;68,09574348;88,76045962;4,638621631;-0,136945569;-0,233919404;0,3263974;0,724389285;0,087647788;-0,117633408;0,661623292
0,949742439;47,99828979;45,97117787;38,3996934;117,7964461;2,489463181;-0,005239521;67,08410161;87,83594874;2,484845239;-0,246848772;41,18480998;44,34416439;23,55683074;117,7966828;-8,085153097;20,60812043;68,23343169;88,79419863;4,667029596;-0,136938426;-0,233819803;0,326337264;0,724484023;0,086903451;-0,116839271;0,661750851
0,945540504;48,00957282;45,9878734;38,40983306;117,7845644;2,497453984;-0,006569901;67,24332552;87,87747333;2,507023776;-0,253225127;41,17930471;44,37012608;23,56840358;117,79443;-8,082230034;20,61753574;68,38750645;88,82912457;4,699999282;-0,136926262;-0,233705106;0,326267878;0,724589525;0,086085713;-0,115949278;0,661900638
0,940416214;48,02143352;46,00624849;38,42085459;117,7717804;2,505394955;-0,007037151;67,43025314;87,9259484;2,532404337;-0,261442136;41,17252324;44,3898098;23,57929238;117,7916081;-8,079161517;20,62782098;68,5689006;88,87250074;4,738006764;-0,136907503;-0,233578507;0,326191088;0,724714058;0,085116261;-0,114896486;0,662067133
0,934044526;48,03890194;46,02930505;38,43752422;117,754484;2,513918775;-0,005699267;67,64739178;87,98082276;2,560673466;-0,268868;41,16934798;44,41714699;23,59261431;117,7878175;-8,075327848;20,63850214;68,77993693;88,924831;4,78208963;-0,13688315;-0,233436114;0,326104113;0,724856744;0,083997375;-0,113660423;0,662264334
0,927333244;48,05793103;46,0580277;38,45899335;117,7342062;2,521964037;-0,00311691;67,89313557;88,03883183;2,591954513;-0,274651888;41,16963242;44,44902967;23,6118746;117,7799402;-8,07016312;20,64880663;69,02099859;88,98334133;4,834734828;-0,136862208;-0,233277186;0,326012938;0,725011354;0,082704935;-0,112233067;0,662488066
0,922242898;48,08050016;46,09300986;38,48681015;117,7103504;2,52927199;0,00056602;68,16581344;88,10001832;2,628164516;-0,278362561;41,17389318;44,49262615;23,63720944;117,7671834;-8,063820921;20,65961281;69,28973352;89,0460416;4,895177252;-0,136841265;-0,233103727;0,325918057;0,725182392;0,081258639;-0,110621325;0,662734145
0,919611239;48,10949308;46,13139806;38,51958316;117,6835703;2,537318662;0,003047577;68,47559736;88,16557209;2,675848356;-0,278688989;41,18004468;44,54257239;23,66615415;117,7527414;-8,057119182;20,67230054;69,59594767;89,11287191;4,961442944;-0,136813809;-0,232918818;0,325819511;0,725375193;0,079605818;-0,108769255;0,663005921
0,920553871;48,13980721;46,17357506;38,55241441;117,654434;2,545113429;0,005880908;68,81183272;88,23565849;2,731326775;-0,275719714;41,18635;44,59651419;23,69720824;117,7348687;-8,04891952;20,68595947;69,92935604;89,18384452;5,031115651;-0,13677968;-0,232718732;0,325719148;0,72558649;0,077805728;-0,106742529;0,663300099
0,923968885;48,17011019;46,2159433;38,5868317;117,6232936;2,552011755;0,008917275;69,17698757;88,30585362;2,795221428;-0,271073238;41,19388047;44,65409982;23,733631;117,7118661;-8,039111043;20,69932875;70,29240511;89,25510645;5,106468235;-0,136741646;-0,232499681;0,32563251;0,725801481;0,075793805;-0,104484686;0,663629987
