Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3;Left Pelvis X;Left Pelvis Y;Left Pelvis Z;Left Pelvis Q0;Left Pelvis Q1;Left Pelvis Q2;Left Pelvis Q3
14,15696865;10,90705757;17,86558667;128,669657;51,48187744;-6,842177099;-13,86403242;53,29534959;55,94035417;-0,694554097;13,10484798;9,738569999;16,27157451;123,9831877;51,59375692;-5,056242299;-14,45154208;54,12135356;54,84577617;-0,601461933;-0,11880183;-0,276997073;0,353566047;0,689229413;0,172501621;-0,181379555;0,670651276;-0,089683428;-0,283419422;0,352072951;0,662861316;0,16719534;-0,191887862;0,695021159
14,19317474;10,79745569;17,79643819;128,5962903;51,66828028;-6,838328462;-13,82797581;53,32560309;53,40204783;-0,196318742;13,14393831;9,605679907;16,20404458;123,9818212;51,83261642;-5,0647582;-14,42517936;54,19233192;52,06829722;-0,10700572;-0,118717018;-0,276935619;0,353578603;0,689340988;0,172880997;-0,181673685;0,670428198;-0,089760039;-0,283387608;0,352051725;0,662696221;0,167326992;-0,192183151;0,695102643
14,22787389;10,69508698;17,73189228;128,5286718;51,85575323;-6,839756243;-13,78955817;53,34788907;50,75046001;0,304281132;13,18354856;9,480943571;16,14483829;123,9767953;52,05043595;-5,069692974;-14,39540019;54,25484198;49,20198017;0,395250444;-0,118623032;-0,276872307;0,35358493;0,689420044;0,173245911;-0,181986491;0,670239032;-0,089853717;-0,283348479;0,352022002;0,66258013;0,167488428;-0,192450713;0,695142023
14,25798869;10,60986282;17,67401512;128,4794647;52,03755261;-6,849624189;-13,74957541;53,36670761;47,99342646;0,798453828;13,22187606;9,371043421;16,0929126;123,9639325;52,25392691;-5,071224412;-14,36730803;54,31114841;46,25859792;0,898779354;-0,11852521;-0,276811027;0,353580456;0,689472975;0,173563782;-0,182280885;0,670090223;-0,089961083;-0,283308086;0,351984655;0,662511617;0,167674219;-0,192680628;0,695139428
14,28255074;10,54453525;17,62319792;128,4557504;52,21157992;-6,8676446;-13,71138393;53,38304265;45,15176894;1,277490875;13,25945295;9,278341138;16,04742481;123,9514212;52,44014177;-5,068099238;-14,34700556;54,3725295;43,28952498;1,406782384;-0,118423772;-0,276753789;0,353564382;0,6894916;0,173810107;-0,182539151;0,669999774;-0,090075279;-0,283271681;0,351939133;0,662505425;0,167856605;-0,19284044;0,69508981
14,30317798;10,50156354;17,58030198;128,4618387;52,38399558;-6,89152001;-13,67922743;53,40837379;42,27241225;1,744317626;13,29860695;9,204780262;16,00736273;123,9276545;52,61527489;-5,063079143;-14,33609113;54,43928191;40,32237321;1,933979273;-0,118328627;-0,276707818;0,353538385;0,689484479;0,173985183;-0,182731771;0,669965496;-0,090193;-0,283237821;0,351889505;0,662564817;0,168044043;-0,192949972;0,694984396
14,32034388;10,47832654;17,54765981;128,4859415;52,55017955;-6,92054664;-13,65332544;53,43004564;39,34942324;2,211091923;13,33931556;9,157133809;15,97760102;123,8929376;52,77449321;-5,059138926;-14,33531558;54,51418549;37,39445598;2,456203856;-0,118233674;-0,27666711;0,353503741;0,689450266;0,174113783;-0,182909277;0,669968698;-0,090318451;-0,283208723;0,35183426;0,662693744;0,168233614;-0,19299782;0,694822669
14,3382704;10,46991901;17,5242532;128,5194977;52,72559909;-6,955265339;-13,63912604;53,46716099;36,44542273;2,679690989;13,38124532;9,125696118;15,95152168;123,8531072;52,92609461;-5,057841301;-14,34500482;54,59991445;34,5172288;2,961474642;-0,118145174;-0,27663923;0,35346018;0,689396825;0,17419292;-0,183027722;0,670012921;-0,090445479;-0,28317932;0,351777219;0,662864751;0,168430472;-0,19299323;0,694629915
14,35901792;10,46944712;17,50964386;128,5456717;52,90070203;-6,990993563;-13,63787665;53,50446358;33,5534202;3,14173946;13,42465451;9,112550007;15,93308726;123,8091983;53,07584794;-5,05893359;-14,36854231;54,6957544;31,73001654;3,453440037;-0,118056286;-0,276617948;0,353413103;0,68931529;0,174250305;-0,183138379;0,670085768;-0,090571906;-0,28315426;0,351718452;0,663085456;0,168625759;-0,192931274;0,694405244
14,3848102;10,47176056;17,50103391;128,5546264;53,08509523;-7,026299841;-13,64932378;53,55188718;30,72927901;3,605809694;13,46600416;9,114292344;15,92135542;123,7713239;53,22278712;-5,062742136;-14,40599222;54,80088986;29,05416425;3,927473803;-0,117966866;-0,276608934;0,3533624;0,689213214;0,174272786;-0,183231187;0,670182286;-0,090702678;-0,283132501;0,351663661;0,663359888;0,168818442;-0,192829425;0,694138282
14,41802994;10,47345165;17,49899429;128,5425466;53,27805813;-7,063014106;-13,67414334;53,61025115;27,98730322;4,06548003;13,50436876;9,124023668;15,91362523;123,7491503;53,39124199;-5,069038873;-14,46390074;54,92703564;26,54522424;4,382955352;-0,11787243;-0,276609477;0,353309322;0,689084431;0,174256313;-0,183303569;0,670309139;-0,090829841;-0,283121447;0,351609653;0,663669297;0,168993658;-0,192676619;0,693851887
14,45973316;10,46806821;17,49414457;128,5144335;53,48517812;-7,098661652;-13,71037984;53,68410663;25,36625342;4,535217114;13,54103365;9,135647716;15,90710736;123,7514238;53,58069598;-5,073778764;-14,53301308;55,07074287;24,20754548;4,816892079;-0,117783925;-0,276621547;0,35324936;0,688921811;0,174201677;-0,18336671;0,670471819;-0,09095257;-0,283119611;0,351559887;0,664011214;0,16915744;-0,192495945;0,693542654
14,5103491;10,45817682;17,48763776;128,478874;53,71736938;-7,13853808;-13,75787497;53,78345116;22,89729833;5,003558073;13,5779925;9,146134184;15,89802121;123,7819869;53,81405281;-5,078462408;-14,61707326;55,2413067;22,09927175;5,241003318;-0,117705382;-0,276648084;0,353184331;0,688738453;0,174113735;-0,183400983;0,670656263;-0,091056493;-0,283137893;0,35151296;0,664362738;0,169298389;-0,192277899;0,693232144
14,57298253;10,43341631;17,47381464;128,4322178;53,97786891;-7,178450276;-13,81707968;53,90823717;20,62715768;5,459480163;13,62020711;9,150555106;15,88653135;123,8305229;54,08607283;-5,081960574;-14,70509605;55,4361936;20,22173115;5,647338902;-0,117644344;-0,276682835;0,353112475;0,68853646;0,174024935;-0,183437686;0,670850394;-0,091138897;-0,283174953;0,351467274;0,664729652;0,169417294;-0,192038733;0,69290792
14,64572302;10,40061826;17,44936674;128,378033;54,26740119;-7,219055758;-13,88999805;54,06009857;18,58030337;5,893625463;13,66198736;9,151998751;15,86966176;123,8883749;54,39857184;-5,086269766;-14,79515857;55,65191751;18,58393758;6,011346029;-0,117601867;-0,276721966;0,353039366;0,68833543;0,173940239;-0,183471141;0,671031319;-0,091201382;-0,283233441;0,351427413;0,665059621;0,169522997;-0,191772041;0,692617036
14,72661769;10,36271217;17,41706046;128,2969937;54,58709032;-7,256710965;-13,97316179;54,24220032;16,77341226;6,277616009;13,7029894;9,146986445;15,85118024;123,9455083;54,73332916;-5,093505222;-14,87897428;55,88041137;17,18147701;6,331341674;-0,117575467;-0,27676548;0,352962866;0,688141243;0,173849312;-0,183485805;0,671199565;-0,091246689;-0,283313887;0,351391969;0,66534744;0,169622468;-0,191497661;0,692357807
14,81232982;10,32439319;17,38468845;128,1932915;54,93225918;-7,290115276;-14,06780936;54,45218841;15,21071893;6,601137253;13,74668689;9,127490978;15,82752724;123,9848955;55,07935966;-5,100807212;-14,95266255;56,11310708;16,01667777;6,595606325;-0,117566614;-0,276817074;0,352882128;0,687966204;0,173751951;-0,183455927;0,671349225;-0,091274313;-0,283410664;0,351358443;0,665594345;0,169710606;-0,191236387;0,692131405
14,89804425;10,28675451;17,36070919;128,0643403;55,29178035;-7,316446294;-14,16134473;54,68315826;13,90013126;6,866128166;13,79094068;9,0881393;15,79773484;124,0020208;55,4218146;-5,100310945;-15,02330763;56,34767615;15,07432019;6,801700468;-0,117573312;-0,276881698;0,352798965;0,68783284;0,17364591;-0,183384534;0,671460679;-0,091287968;-0,283523841;0,351328338;0,665801735;0,169779984;-0,190980639;0,691940946
14,9790044;10,24204634;17,34140667;127,923819;55,65125816;-7,3307133;-14,252731;54,93108948;12,84003371;7,063561925;13,83752996;9,023798493;15,75929398;123,9969983;55,74469698;-5,088756995;-15,08593009;56,56979167;14,37115403;6,954561353;-0,117593891;-0,276959465;0,352714214;0,687734014;0,173531883;-0,183271014;0,671547671;-0,091282644;-0,283648397;0,351298314;0,665969338;0,169837879;-0,190775033;0,691779356
