Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3
4,019158701;53,58953196;77,88597739;117,0942615;-6,050429274;-1,651374146;6,23417476;60,69648586;79,23913013;-3,007959148;0,713424206;47,35104246;74,39693262;108,1173987;-4,515603364;-5,967718733;5,478885521;62,36131922;82,71967228;-0,301048727;-0,108862688;-0,256272636;0,343865439;0,700933358;0,10353539;-0,138811105;0,677594143
4,026147529;53,5776132;77,88737312;117,1130988;-6,054167013;-1,648209127;6,232647248;60,6251521;79,21824345;-3,025814954;0,728743633;47,34034416;74,38729866;108,1146734;-4,507756607;-5,969338892;5,480279927;62,28618411;82,69940583;-0,297096857;-0,108877297;-0,256226725;0,343957777;0,70089269;0,10383281;-0,139115289;0,677560449
4,007894233;53,56757163;77,88838386;117,1285421;-6,058203964;-1,647251332;6,232189847;60,42731064;79,15639004;-3,020765511;0,72396574;47,32976407;74,38347975;108,1180991;-4,5016975;-5,971877064;5,481959907;62,05389863;82,60845281;-0,294388856;-0,10887427;-0,256181618;0,344151749;0,700943353;0,104714742;-0,139917171;0,677441402
4,017417726;53,56342737;77,88494199;117,1419637;-6,062225547;-1,647348779;6,23484715;60,20279432;79,06421393;-3,014852903;0,705334492;47,32868267;74,37377183;108,1298528;-4,497572289;-5,974453793;5,483116859;61,8425203;82,53032722;-0,27913543;-0,10889387;-0,256142154;0,344425688;0,700811299;0,105517914;-0,14065189;0,67737795
4,028940998;53,55951574;77,87993954;117,1520059;-6,064633353;-1,647591236;6,241938699;60,14474479;79,04395544;-3,027724867;0,709057619;47,32740076;74,36580798;108,1418656;-4,492496192;-5,976513224;5,485348556;61,78447305;82,51403716;-0,273571503;-0,108911909;-0,256107077;0,344630629;0,70076037;0,105746499;-0,140864319;0,677351379
4,03670394;53,54850796;77,8783;117,1650686;-6,066214455;-1,645583477;6,242984098;60,12464626;79,04067349;-3,040474943;0,714946571;47,32341982;74,35752377;108,1494945;-4,485843723;-5,976771185;5,486052855;61,76074105;82,51072915;-0,26985682;-0,108914924;-0,256080764;0,344770789;0,700741893;0,105841537;-0,140959466;0,677328192
4,039731554;53,5354166;77,88082029;117,1771357;-6,070464504;-1,642274591;6,239904505;60,10993282;79,03955674;-3,050861445;0,720654963;47,31663889;74,35323993;108,1541188;-4,4795522;-5,975096673;5,485137312;61,74252102;82,50924567;-0,266170959;-0,108929232;-0,256055784;0,344860679;0,700730658;0,105914717;-0,141031083;0,677306416
4,033691802;53,52574028;77,90717032;117,1822675;-6,076579003;-1,64146432;6,240939222;60,00354825;79,0016637;-3,054666177;0,738847392;47,29943071;74,3579766;108,1540483;-4,478242434;-5,976325923;5,488233437;61,6351519;82,47269143;-0,265965589;-0,108933173;-0,256020033;0,344975031;0,700715626;0,106339968;-0,141451775;0,677261551
4,003356564;53,53300699;77,91538032;117,1832244;-6,081775478;-1,638889881;6,240801844;59,82072632;78,93891891;-3,043866983;0,724054583;47,31032964;74,3573468;108,1489925;-4,483800095;-5,976456165;5,49111495;61,42362488;82,3927915;-0,250184839;-0,108923607;-0,255995748;0,345171706;0,700792606;0,107173873;-0,142151041;0,677142443
4,010156691;53,53447315;77,92677446;117,1785759;-6,081793733;-1,630794529;6,231216508;59,65358824;78,86906396;-3,03613682;0,705155015;47,31963192;74,35785584;108,1345767;-4,490439529;-5,975631759;5,488809669;61,27107526;82,34086991;-0,22264159;-0,108929741;-0,255969529;0,345406742;0,700675418;0,107750809;-0,142676782;0,677087239
4,015942019;53,52559186;77,92701492;117,1786594;-6,074521239;-1,622708047;6,219753413;59,60177518;78,84924109;-3,040912995;0,712094669;47,32144164;74,35968274;108,1237327;-4,493853775;-5,975988816;5,486378395;61,22181755;82,32502677;-0,216244017;-0,108951337;-0,255941563;0,345584702;0,700628521;0,107936851;-0,142848487;0,677073563
4,019057007;53,51373768;77,92871227;117,1924732;-6,0680204;-1,618356449;6,213713058;59,5871627;78,84559697;-3,047436822;0,718255576;47,32149375;74,3601237;108,1217415;-4,496956444;-5,97778992;5,489255241;61,20604317;82,32181481;-0,213519645;-0,108960386;-0,255922044;0,345702672;0,700618532;0,107996632;-0,142908705;0,677060734
4,01034242;53,51196506;77,96343032;117,2070087;-6,064428408;-1,619372187;6,213809482;59,54267352;78,82806956;-3,051499665;0,731322345;47,31864886;74,36366148;108,1198016;-4,500195787;-5,983700208;5,495600928;61,16195877;82,30683446;-0,213013127;-0,108958606;-0,255901423;0,345796143;0,700612381;0,108178644;-0,143080938;0,677035613
3,992297189;53,5227387;77,9912486;117,2077682;-6,065043238;-1,621791554;6,217330474;59,4792999;78,80277793;-3,053083102;0,740181264;47,32001796;74,3725201;108,1117747;-4,502211135;-5,990146058;5,504821;61,09429968;82,28349982;-0,205980867;-0,108962876;-0,255880909;0,345888568;0,70064707;0,108445846;-0,14332746;0,676970268
3,963605627;53,53458734;78,0049454;117,2043444;-6,069483975;-1,620915019;6,215340859;59,35923259;78,75477781;-3,048950085;0,733192367;47,33152577;74,38353851;108,099536;-4,507056409;-5,991756422;5,511554526;60,96019977;82,23811975;-0,172447285;-0,108969398;-0,255869769;0,346027053;0,700680074;0,10897807;-0,143760555;0,676900408
3,968897273;53,53528181;78,02649965;117,2030623;-6,072179766;-1,615400021;6,207530965;59,25917839;78,71409922;-3,04137919;0,717660429;47,33186561;74,38445377;108,0934999;-4,507829667;-5,987732379;5,50464479;60,86611938;82,21330411;-0,126299044;-0,108988798;-0,255854601;0,346176538;0,700614871;0,109315204;-0,144082219;0,676839367
3,971010565;53,52703284;78,04058974;117,2108436;-6,067558888;-1,615587205;6,209735049;59,2210045;78,69841416;-3,042937846;0,723772793;47,31947903;74,37908805;108,0993045;-4,499689581;-5,98332927;5,496076061;60,83083926;82,20361475;-0,114385753;-0,109009204;-0,255833746;0,346288081;0,700577614;0,109437742;-0,144207507;0,676830571
